Date,Company ROC,S&P500 ROC
2023-04-19,0.004886664704150795,0.005988193161113811
2023-04-18,-0.0009374267635340788,8.42690983805877e-05
2023-04-17,0.0023457658925637886,-0.000854489519194225
2023-04-14,0.00889304937982688,-0.0032952622489341504
2023-04-13,-0.0020296914868939593,0.002073664659441411
2023-04-12,-0.013190772270323727,-0.013089093405503106
2023-04-11,-0.0035331527499705235,0.0041520523068737224
2023-04-10,-0.0054958042784541234,4.1354188044385406e-05
2023-04-06,-0.003802959177609997,-0.0009953113657404464
2023-04-05,0.013301521025946852,-0.003566398372990578
2023-04-04,-0.004944666823640237,0.0024985979631609897
2023-04-03,0.005383341221012758,0.005830772911119979
2023-03-31,-0.039952927331568064,-0.00368521543043231
2023-03-30,-0.004719293944594326,-0.014231094669152922
2023-03-29,-0.0094217624237944,-0.005682790708887308
2023-03-28,-0.008516722615939354,-0.014037414436131606
2023-03-27,-0.01153677346542105,0.0015763243835945212
2023-03-24,-0.010085632730732657,-0.0016442463072129491
2023-03-23,-0.0098679994873766,-0.0056081782089648586
2023-03-22,0.01003106393994294,-0.00297564782693561
2023-03-21,0.020759915422566857,0.01673879835883166
2023-03-20,-0.029690540455715207,-0.012815816483241151
2023-03-17,-0.014490878509509697,-0.008839568874392354
2023-03-16,0.012800315084678932,0.011142238734136958
2023-03-15,-0.0031758377082116837,-0.01725890521645389
2023-03-14,0.04525357607282171,0.007029958889918008
2023-03-13,-0.012751928340383075,-0.01620957588330755
2023-03-10,0.006048768193560453,0.0015120438279960233
2023-03-09,0.005260850504164862,0.014690834391419955
2023-03-08,0.015450750732041732,0.018806514047001892
2023-03-07,0.00638075955580092,-0.0014127951994930303
2023-03-06,0.013046393952325711,0.015565490123450439
2023-03-03,-0.007281699464403801,-0.0006866948959157001
2023-03-02,-0.014548981571290044,-0.015891131348545626
2023-03-01,-0.0031373031496062433,-0.007525137037248254
2023-02-28,-0.007898796667695163,0.0047476989807717605
2023-02-27,0.01275113516203261,0.0030452472042649327
2023-02-24,-0.0025181181673012937,-0.0030635901406728056
2023-02-23,-0.002955483036758757,0.010649774027684406
2023-02-22,-0.009757302538133839,-0.005301177166543257
2023-02-21,0.004053632678515782,0.0015760361272209346
2023-02-17,0.01149068322981363,0.020451099531823683
2023-02-16,0.02284310715382253,0.002775085613420148
2023-02-15,0.014648496127754084,0.013981529180625007
2023-02-14,0.019584639962132434,-0.0027655064552225407
2023-02-13,-0.0076021355617456035,0.0002804931863530148
2023-02-10,0.005613706800771932,-0.011319022278556903
2023-02-09,-0.020526836076059783,-0.002190453157606865
2023-02-08,0.009261458085965343,0.008908456028727184
2023-02-07,0.024058823529411785,0.011204882694085655
2023-02-06,-0.025561491182721677,-0.012708914955571566
2023-02-03,-0.001120018863475582,0.00617840126221392
2023-02-02,-0.002596636175863073,0.01046295047011094
2023-02-01,0.013904502692148529,-0.014486431776646852
2023-01-31,0.015522875816993444,-0.010344183395680159
2023-01-30,0.001034363866222149,-0.01443116241861031
2023-01-27,0.03013777267508611,0.013139139076123369
2023-01-26,0.04647534132070217,-0.0024886322293017926
2023-01-25,-0.046381596464135366,-0.010887999961037838
2023-01-24,0.009772168863077954,0.00018175808946595156
2023-01-23,-0.0009401094951059885,0.0007120097229592352
2023-01-20,0.0013284623048821493,-0.011741836177301113
2023-01-19,-0.010503040353786653,-0.018567140436918792
2023-01-18,-0.009888268156424638,0.007697143776742066
2023-01-17,0.01839417705806026,0.015808621733291135
2023-01-13,-0.016233586348274178,0.0020346224720075774
2023-01-12,-0.0027033115566568473,-0.0039809470818954
2023-01-11,-0.01061667043144355,-0.0034042771759890122
2023-01-10,0.004794520547945226,-0.012686411526340594
2023-01-09,-0.004885253351510937,-0.006929874876411303
2023-01-06,0.007877611599497633,0.0007682222576701632
2023-01-05,-0.0074762120525599975,-0.022330729721639027
2023-01-04,-0.017690025108422863,0.011782745173765471
2023-01-03,0.010747066341350198,-0.007482559777059156
2022-12-30,0.03161101212713374,0.004016617554103037
2022-12-29,-0.006518468995487302,0.0025472142979229067
2022-12-28,-0.007514580529385394,-0.017161666101444116
2022-12-27,0.01497344332692963,0.012166892132449848
2022-12-23,-0.012414407392974391,0.004066088231213684
2022-12-22,-0.029988726042841,-0.0058338687851317815
2022-12-21,0.015225476522547512,0.014663613708522124
2022-12-20,-0.011619919862621644,-0.014650175090283386
2022-12-19,-0.016157989228007135,-0.0010362634057514567
2022-12-16,-0.006828349423122184,0.00908938881706911
2022-12-15,0.013750592697961079,0.011263197460312954
2022-12-14,0.007542095416277014,0.02555863912195983
2022-12-13,0.006963384204723429,0.006089583204372841
2022-12-12,-0.02178297700685761,-0.007236909794815337
2022-12-09,-0.010309278350515464,-0.014078268452636086
2022-12-08,0.03297619047619043,0.007403994484716932
2022-12-07,-0.0058776074680187956,-0.0074656271379959895
2022-12-06,-0.002956178993739968,0.0018658457814074007
2022-12-05,0.026451950467996116,0.014609560897359855
2022-12-02,0.025317172632532844,0.01822024929225998
2022-12-01,0.008064961608573208,0.0011960894088225565
2022-11-30,0.004493396898460152,0.0008683866591614104
2022-11-29,-0.012437946647755174,-0.030018852772276616
2022-11-28,-0.014748936640335787,0.0015944034133039597
